id,keyword,translated
438,俄罗斯,Russia
24,中俄关系,Sino-Russian Relations
22,能源合作,energy cooperation
22,中国,China
20,俄乌冲突,Russian-Ukrainian conflict
20,美国,U.S.
20,大国博弈,Great Power Game
20,碳中和,carbon neutral
20,北极,Arctic
18,大国竞争,great power competition
18,能源转型,energy transition
18,乌克兰危机,Ukraine crisis
16,乌克兰,Ukraine
16,地缘政治,geopolitics
16,中俄合作,Sino-Russian cooperation
14,能源安全,energy security
14,金融制裁,financial sanctions
14,网络安全,cyber security
14,液化天然气,liquified natural gas
14,人工智能,artificial intelligence
14,国家安全,National Security
14,天然气管道,Natural Gas Pipeline
14,美俄关系,US-Russian Relations
12,可再生能源,Renewable Energy
12,天然气供应,natural gas supply
12,国际合作,global cooperation
12,俄罗斯外交,Russian diplomacy
12,政策,policy
12,国际空间站,International Space Station
10,大国关系,Great Power Relations
10,外汇储备,foreign exchange reserves
10,北极地区,arctic region
10,美国军事与外交,US military and diplomacy
10,特朗普政府,Trump Administration
10,独联体,CIS
10,中俄,China and Russia
10,防空系统,air defense system
10,信息安全,information security
10,普京,Putin
10,国家形象,National Image
10,北极安全,Arctic Security
10,上海合作组织,Shanghai Cooperation Organization
8,经济制裁,economic sanctions
8,安全战略,security strategy
8,网络空间,Cyberspace
8,国际安全,international security
8,哈萨克斯坦,Kazakhstan
8,天然气,natural gas
8,欧亚经济联盟,Eurasian Economic Union
8,国防工业,defense industry
8,北极政策,Arctic policy
8,俄罗斯经济,Russian economy
8,启示,revelation
8,俄欧关系,Russian-European Relations
8,人类命运共同体,community with a shared future for mankind
8,高超声速武器,hypersonic weapon
8,外交政策,foreign policy
8,能源,energy
8,数据安全,Data Security
8,粮食安全,food security
8,“一带一路”,"""One Belt One Road"""
6,“欧佩克+”,"""OPEC+"""
6,冷战,cold war
6,原油产量,Crude production
6,乌拉尔,Urals
6,卢布汇率,ruble exchange rate
6,克里米亚,Crimea
6,全球化,globalization
6,中俄能源合作,Sino-Russian Energy Cooperation
6,能源战略,energy strategy
6,金砖国家,BRICS
6,白俄罗斯,Belarus
6,对策,countermeasures
6,煤炭出口,coal export
6,北极战略,Arctic strategy
6,国际油价,international oil price
6,油气管道,Oil and gas pipeline
6,化石能源,Fossil Energy
6,国际贸易,international trade
6,社交媒体,social media
6,国际传播,international communication
6,军事行动,Military action
6,无人机,drone
6,军事装备,military equipment
6,空天防御,Aerospace Defense
6,防空反导,air defense and missile defense
6,后苏联空间,post soviet space
6,澳大利亚,Australia
6,防空导弹系统,anti-aircraft missile system
6,反导系统,Anti-missile system
6,俄美关系,Russian-American Relations
6,新冠疫情,COVID-19
6,全球治理,global governance
6,中美关系,Sino-US relations
6,欧盟,EU
6,俄国,Russia
6,高超声速导弹,hypersonic missile
6,非对称,asymmetrical
6,阿塞拜疆,Azerbaijan
6,职业安全健康,Occupational Safety and Health
6,合作,Cooperation
6,风险,risk
6,气候变化,climate change
6,实验舱,experimental cabin
6,技术论坛,technology Forum
6,网络空间治理,cyberspace governance
6,跨境数据流动,cross-border data flow
6,中东欧,Central and Eastern Europe
6,海上安全,maritime safety
6,中亚国家,Central Asian countries
6,能源开发,energy development
4,能源市场,energy market
4,美国外交,US diplomacy
4,拜登政府,Biden administration
4,伊朗,Iran
4,国际舆论,international opinion
4,传播策略,broadcast strategy
4,外部因素,external factors
4,去俄罗斯化,DeRussification
4,网络安全战略,Cybersecurity Strategy
4,网络战,cyber warfare
4,委内瑞拉,Venezuela
4,国际金融体系,international financial system
4,武装力量,armed forces
4,核战略,nuclear strategy
4,国际新秩序,new international order
4,生物安全,Biosecurity
4,油气行业,Oil and gas industry
4,安全治理,Security Governance
4,安全共同体,security community
4,氢能,Hydrogen energy
4,低碳转型,low carbon transition
4,能源产业,energy industry
4,国家能源局,National Energy Board
4,低碳,low carbon
4,俄日关系,Russia-Japan Relations
4,塔吉克斯坦,Tajikistan
4,政治,politics
4,安全,Safety
4,俄白联盟,Russian-Belarus Union
4,“颜色革命”,"""Color Revolution"""
4,俄乌局势,Russia-Ukraine situation
4,影响,influences
4,经济安全,economic security
4,布伦特原油,Brent Crude
4,清洁能源,clean energy
4,能源贸易,energy trade
4,管输天然气,Pipeline natural gas
4,俄罗斯原油,Russian crude
4,北约,NATO
4,国家安全观,national security concept
4,非洲,Africa
4,新能源,new energy
4,俄罗斯卢布,Russian Ruble
4,天然气发电,natural gas power generation
4,天然气进口,natural gas import
4,油气出口,Oil and gas export
4,黄金储备,gold reserve
4,问题,question
4,欧佩克,OPEC
4,原子能,atomic energy
4,土耳其外交,Turkish diplomacy
4,欧洲安全,European Security
4,习近平,Xi Jinping
4,权力转移,power transfer
4,法律规制,Rules and regulation
4,国家豁免,State immunity
4,原油需求,Crude oil demand
4,煤炭进口,coal import
4,作战力量,combat force
4,英国,U.K.
4,数字外交,digital diplomacy
4,天然气资源,natural gas resources
4,出口量,Export amount
4,身份认同,identity
4,克里米亚事件,Crimea events
4,俄罗斯民众,Russian people
4,s-550,s-550
4,国际科技合作,International Science and Technology Cooperation
4,能源政策,Energy policy
4,中亚五国,Five Central Asian Countries
4,中欧关系,Sino-European Relations
4,百年大变局,A century of change
4,中国外交,Chinese diplomacy
4,批评话语分析,critical discourse analysis
4,紧急情况,Emergency situations
4,“冰上丝绸之路”,"""Silk Road on Ice"""
4,北极治理,Arctic governance
4,国际法,international law
4,叙利亚战争,Syrian War
4,战略,strategy
4,发展战略,development strategy
4,沙特阿拉伯,Saudi Arabia
4,世界能源市场,world energy market
4,导弹防御系统,missile defense system
4,生产安全事故,Production safety accident
4,应急准备,emergency preparedness
4,卫生安全,health and safety
4,北极问题,Arctic issues
4,去美元化,de-dollarization
4,高等教育,higher education
4,出口额,Export value
4,印太战略,Indo-Pacific strategy
4,过境国,transit country
4,《俄罗斯联邦国家安全战略》,"""National Security Strategy of the Russian Federation"""
4,安全保障,security
4,中导条约,INF Treaty
4,大欧洲,big europe
4,气候政策,climate policy
4,经济发展,economic development
4,应急管理,emergency management
4,多极世界,multipolar world
4,印俄关系,Indo-Russian Relations
